Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,O3,2020-08-01 07:00 PM,2020,08,01,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-01 08:00 PM,2020,08,01,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-01 09:00 PM,2020,08,01,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-01 10:00 PM,2020,08,01,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-01 11:00 PM,2020,08,01,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 12:00 AM,2020,08,02,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 01:00 AM,2020,08,02,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 02:00 AM,2020,08,02,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 03:00 AM,2020,08,02,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 04:00 AM,2020,08,02,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 05:00 AM,2020,08,02,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 06:00 AM,2020,08,02,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 07:00 AM,2020,08,02,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 08:00 AM,2020,08,02,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 09:00 AM,2020,08,02,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 10:00 AM,2020,08,02,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 11:00 AM,2020,08,02,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 12:00 PM,2020,08,02,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 01:00 PM,2020,08,02,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 02:00 PM,2020,08,02,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 03:00 PM,2020,08,02,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 04:00 PM,2020,08,02,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 05:00 PM,2020,08,02,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 06:00 PM,2020,08,02,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 07:00 PM,2020,08,02,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 08:00 PM,2020,08,02,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 09:00 PM,2020,08,02,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 10:00 PM,2020,08,02,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-02 11:00 PM,2020,08,02,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 12:00 AM,2020,08,03,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 01:00 AM,2020,08,03,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 02:00 AM,2020,08,03,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 03:00 AM,2020,08,03,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 04:00 AM,2020,08,03,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 05:00 AM,2020,08,03,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 06:00 AM,2020,08,03,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 07:00 AM,2020,08,03,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 08:00 AM,2020,08,03,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 09:00 AM,2020,08,03,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 10:00 AM,2020,08,03,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 11:00 AM,2020,08,03,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 12:00 PM,2020,08,03,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 01:00 PM,2020,08,03,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 02:00 PM,2020,08,03,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 03:00 PM,2020,08,03,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 04:00 PM,2020,08,03,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 05:00 PM,2020,08,03,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 06:00 PM,2020,08,03,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 07:00 PM,2020,08,03,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 08:00 PM,2020,08,03,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 09:00 PM,2020,08,03,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 10:00 PM,2020,08,03,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-03 11:00 PM,2020,08,03,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 12:00 AM,2020,08,04,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 01:00 AM,2020,08,04,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 02:00 AM,2020,08,04,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 03:00 AM,2020,08,04,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 04:00 AM,2020,08,04,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 05:00 AM,2020,08,04,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 06:00 AM,2020,08,04,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 07:00 AM,2020,08,04,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 08:00 AM,2020,08,04,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 09:00 AM,2020,08,04,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 10:00 AM,2020,08,04,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 11:00 AM,2020,08,04,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 12:00 PM,2020,08,04,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 01:00 PM,2020,08,04,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 02:00 PM,2020,08,04,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 03:00 PM,2020,08,04,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 04:00 PM,2020,08,04,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 05:00 PM,2020,08,04,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 06:00 PM,2020,08,04,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 07:00 PM,2020,08,04,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 08:00 PM,2020,08,04,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 09:00 PM,2020,08,04,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 10:00 PM,2020,08,04,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-04 11:00 PM,2020,08,04,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 12:00 AM,2020,08,05,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 01:00 AM,2020,08,05,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 02:00 AM,2020,08,05,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 03:00 AM,2020,08,05,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 04:00 AM,2020,08,05,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 05:00 AM,2020,08,05,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 06:00 AM,2020,08,05,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 07:00 AM,2020,08,05,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 08:00 AM,2020,08,05,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 09:00 AM,2020,08,05,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 10:00 AM,2020,08,05,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 11:00 AM,2020,08,05,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 12:00 PM,2020,08,05,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 01:00 PM,2020,08,05,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 02:00 PM,2020,08,05,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 03:00 PM,2020,08,05,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 04:00 PM,2020,08,05,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 05:00 PM,2020,08,05,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 06:00 PM,2020,08,05,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 07:00 PM,2020,08,05,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 08:00 PM,2020,08,05,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 09:00 PM,2020,08,05,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 10:00 PM,2020,08,05,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-05 11:00 PM,2020,08,05,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 12:00 AM,2020,08,06,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 01:00 AM,2020,08,06,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 02:00 AM,2020,08,06,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 03:00 AM,2020,08,06,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 04:00 AM,2020,08,06,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 05:00 AM,2020,08,06,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 06:00 AM,2020,08,06,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 07:00 AM,2020,08,06,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 08:00 AM,2020,08,06,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 09:00 AM,2020,08,06,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 10:00 AM,2020,08,06,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 11:00 AM,2020,08,06,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 12:00 PM,2020,08,06,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 01:00 PM,2020,08,06,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 02:00 PM,2020,08,06,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 03:00 PM,2020,08,06,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 04:00 PM,2020,08,06,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 05:00 PM,2020,08,06,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 06:00 PM,2020,08,06,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 07:00 PM,2020,08,06,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 08:00 PM,2020,08,06,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 09:00 PM,2020,08,06,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 10:00 PM,2020,08,06,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-06 11:00 PM,2020,08,06,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 12:00 AM,2020,08,07,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 01:00 AM,2020,08,07,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 02:00 AM,2020,08,07,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 03:00 AM,2020,08,07,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 04:00 AM,2020,08,07,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 05:00 AM,2020,08,07,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 06:00 AM,2020,08,07,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 07:00 AM,2020,08,07,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 08:00 AM,2020,08,07,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 09:00 AM,2020,08,07,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 10:00 AM,2020,08,07,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 11:00 AM,2020,08,07,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 12:00 PM,2020,08,07,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 01:00 PM,2020,08,07,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 02:00 PM,2020,08,07,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 03:00 PM,2020,08,07,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 04:00 PM,2020,08,07,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 05:00 PM,2020,08,07,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 06:00 PM,2020,08,07,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 07:00 PM,2020,08,07,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 08:00 PM,2020,08,07,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 09:00 PM,2020,08,07,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 10:00 PM,2020,08,07,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-07 11:00 PM,2020,08,07,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 12:00 AM,2020,08,08,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 01:00 AM,2020,08,08,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 02:00 AM,2020,08,08,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 03:00 AM,2020,08,08,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 04:00 AM,2020,08,08,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 05:00 AM,2020,08,08,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 06:00 AM,2020,08,08,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 07:00 AM,2020,08,08,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 08:00 AM,2020,08,08,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 09:00 AM,2020,08,08,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 10:00 AM,2020,08,08,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 11:00 AM,2020,08,08,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 12:00 PM,2020,08,08,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 01:00 PM,2020,08,08,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 02:00 PM,2020,08,08,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 03:00 PM,2020,08,08,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 04:00 PM,2020,08,08,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 05:00 PM,2020,08,08,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 06:00 PM,2020,08,08,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 07:00 PM,2020,08,08,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 08:00 PM,2020,08,08,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 09:00 PM,2020,08,08,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 10:00 PM,2020,08,08,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-08 11:00 PM,2020,08,08,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 12:00 AM,2020,08,09,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 01:00 AM,2020,08,09,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 02:00 AM,2020,08,09,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 03:00 AM,2020,08,09,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 04:00 AM,2020,08,09,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 05:00 AM,2020,08,09,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 06:00 AM,2020,08,09,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 07:00 AM,2020,08,09,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 08:00 AM,2020,08,09,08,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 09:00 AM,2020,08,09,09,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 10:00 AM,2020,08,09,10,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 11:00 AM,2020,08,09,11,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 12:00 PM,2020,08,09,12,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 01:00 PM,2020,08,09,13,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 02:00 PM,2020,08,09,14,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 03:00 PM,2020,08,09,15,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 04:00 PM,2020,08,09,16,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 05:00 PM,2020,08,09,17,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 06:00 PM,2020,08,09,18,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 07:00 PM,2020,08,09,19,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 08:00 PM,2020,08,09,20,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 09:00 PM,2020,08,09,21,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 10:00 PM,2020,08,09,22,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-09 11:00 PM,2020,08,09,23,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 12:00 AM,2020,08,10,00,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 01:00 AM,2020,08,10,01,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 02:00 AM,2020,08,10,02,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 03:00 AM,2020,08,10,03,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 04:00 AM,2020,08,10,04,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 05:00 AM,2020,08,10,05,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 06:00 AM,2020,08,10,06,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Beijing,O3,2020-08-10 07:00 AM,2020,08,10,07,-999.0,-999,N/A,-999.0,PPB,1 Hr,Missing
